province,country,localname
Anatolikis Makedonias kai Thrakis,GR,Ανατολικής Μακεδονίας και Θράκης
Attikis,GR,Αττικής
Dytikis Elladas,GR,Δυτικής Ελλάδας
Dytikis Makedonias,GR,Δυτικής Μακεδονίας
Ionion Nison,GR,Ιονίων Νήσων
Ipeiroy,GR,Ηπείρου
Kentrikis Makedonias,GR,Κεντρικής Μακεδονίας
Kritis,GR,Κρήτης
Notioy Aigaioy,GR,Νότιου Αιγαίου
Peloponnisos,GR,Πελοποννήσου
Stereas Elladas,GR,Στερεάς Ελλάδας
Thessalias,GR,Θεσσαλίας
Boreioy Aigaioy,GR,Βορείου Αιγαίου
Aghion Oros,GR,Άγιο Όρος (Αυτοδιοίκητο)
Brest,BY,Брестской
Vitebsk,BY,Витебской
Gomel,BY,Гомельской
Grodno,BY,Гродненской
Mahiljou,BY,Могилевской
Minsk,BY,Минской
Minsk City,BY,Мінск
Cerkaska,UA,Черкаська
Cernihivska,UA,Чернігівська
Cernivecka,UA,Чернівецька
Charkivska,UA,Харківська
Chersonska,UA,Херсонська
Chmelnytska,UA,Хмельницька
Dnipropetrovska,UA,Дніпропетровська
Donetska,UA,Донецька
Ivano-Frankivska,UA,Івано-Франківська
Kyïvska,UA,Київська
Kirovohradska,UA,Кіровоградська
Luhanska,UA,Луганська
Lvivska,UA,Львівська
Mykolaïvska,UA,Миколаївська
Odeska,UA,Одеська
Poltavska,UA,Полтавська
Rivnenska,UA,Рівненська
Sumska,UA,Сумська
Ternopilska,UA,Тернопільська
Vinnytska,UA,Вінницька
Volynska,UA,Волинська
Zakarpatska,UA,Закарпатська
Zaporizka,UA,Запорізька
Zytomyrska,UA,Житомирська
Krym,UA,Крим
Kyïv,UA,Київ
Sevastopol,UA,Севастополь
Karelia,R,Карелия
Komi,R,Коми
Arkhangelskaya,R,Архангельская
Vologodskaya,R,Вологодская
Murmanskaya,R,Мурманская
Kaliningradskaya,R,Калининградская
Sankt-Peterburg,R,Санкт-Петербург
Leningradskaya,R,Ленинградская
Novgorodskaya,R,Новгородская
Pskovskaya,R,Псковская
Bryanskaya,R,Брянская
Vladimirskaya,R,Владимирская
Ivanovskaya,R,Ивановская
Kaluzhskaya,R,Калужская
Kostromskaya,R,Костромская
Moscow,R,Москва
Moskovskaya,R,Московская
Orlovskaya,R,Орловская
Ryazanskaya,R,Рязанская
Smolenskaya,R,Смоленская
Tverskaya,R,Тверская
Tulskaya,R,Тульская
Yaroslavskaya,R,Ярославская
Mariy-El,R,Марий Эл
Mordoviya,R,Мордовия
Chuvashia,R,Чувашская
Kirovskaya,R,Кировская
Nizhnii Novgorodskaya,R,Нижегородская
Belgorodskaya,R,Белгородская
Voronezhskaya,R,Воронежская
Kurskaya,R,Курская
Lipetskaya,R,Липецкая
Tambovskaya,R,Тамбовская
Kalmykiya,R,Калмыкия
Tatarstan,R,Татарстан
Astrakhanskaya,R,Астраханская
Volgogradskaya,R,Волгоградская
Penzenskaya,R,Пензенская
Samarskaya,R,Самарская
Saratovskaya,R,Саратовская
Ulyanovskaya,R,Ульяновская
Rostovskaya,R,Ростовская
Bashkortostan,R,Башкортостан
Udmurtskaya,R,Удмуртская
Orenburgskaya,R,Оренбургская
Permskij,R,Пермский
Adygeya,R,Адыгея
Dagestan,R,Дагестан
Ingushetia,R,Ингушетия
Kabardino-Balkarskaya,R,Кабардино-Балкарская
Karachayevo-Cherkesskaya,R,Карачаево-Черкесская
North Ossetia-Alania,R,Северная Осетия-Алания
Chechenskaya,R,Чеченская
Krasnodarskiy,R,Краснодарский край
Stavropolskiy,R,Ставропольский
Kurganskaya,R,Курганская
Sverdlovskaya,R,Свердловская
Chelyabinskaya,R,Челябинская
Altay,R,Алтай
Altayskiy,R,Алтайский
Kemerovskaya,R,Кемеровская
Novosibirskaya,R,Новосибирская
Omskaya,R,Омская
Tomskaya,R,Томская
Tyumenskaya,R,Тюменская
Buryatiya,R,Бурятия
Tyva,R,Тыва
Khakasiya,R,Хакасия
Krasnoyarsk,R,Красноярский
Irkutskaya,R,Иркутская
Zabaykalskiy,R,Забайкальский
Sakha,R,Саха (Якутия)
Jewish Autonomous Oblast,R,Еврейская
Chukotka,R,Чукотский
Primorskiy,R,Приморский
Khabarovskiy,R,Хабаровский
Amurskaya,R,Амурская
Kamchatka,R,Камчатский
Magadanskaya,R,Магаданская
Sakhalin,R,Сахалинская
Yerushalayim,IL,מחוז ירושלים
HaMerkaz,IL,המרכז
Hefa,IL,מחוז חיפה
HaZafon,IL,מחוז הצפון
Tel Aviv,IL,מחוז תל אביב
HaDarom,IL,מחוז הדרום
Al Hasakah,SYR,الحسكة
Al Ladhiqiyah,SYR,اللاذقية
Al Qunaytirah,SYR,القنيطرة
Ar Raqqah,SYR,الرقة
As Suwayda,SYR,السويداء
Daraa,SYR,درعا
Dayr az Zawr,SYR,دير الزور
Dimashq,SYR,مدينة دمشق
Halab,SYR,حلب
Hamah,SYR,حماة
Hims,SYR,حمص
Idlib,SYR,ادلب
Rif Dimashq,SYR,ريف دمشق
Tartus,SYR,طرطوس
Al-Hudud ash Shamaliyah,SA,الحدود الشمالية
Al-Baha,SA,ﺔﺣﺎﺒﻟﺍ
Al-Jouf,SA,الجوف
Al-Madinah Al-Monawarah,SA,المدينة المنورة
Al-Qaseem,SA,القصيم
Aseer,SA,عسير
Ash Sharqiyah,SA,الشرقية
Hail,SA,حائل
Jazan,SA,جازان
Makkah Al-Mokarramah,SA,مكة المكرمة
Najran,SA,نجران
Tabouk,SA,تبوك
al-Anbar,IRQ,الانبار
Babylon,IRQ,بابل
Baghdad,IRQ,بغداد
Basrah,IRQ,البصرة
Thi Qar,IRQ,ذي قار
Diala,IRQ,ديالى
Kerbela,IRQ,كربلاء
Maysan,IRQ,ميسان
al-Muthanna,IRQ,المثنى
al-Najaf,IRQ,النجف
Nineveh,IRQ,نينوى
al-Qadisiya,IRQ,القادسية
Salah al-Deen,IRQ,صلاح الدين
Kirkuk,IRQ,كركوك
Wasit,IRQ,واسط
Duhouk,IRQ,دهوك
Arbil,IRQ,أربيل
West Azarbayejan,IR,آذربايجان غربي
East Azarbayejan,IR,آذربايجان شرقي
Kermanshah,IR,كرمانشاه
Kohgiluyeh and Boyer-Ahmad,IR,كهگيلويه وبويراحمد
Bushehr,IR,بوشهر
Chaharmahal and Bakhtiyari,IR,چهارمحال وبختيارئ
Esfahan,IR,اصفهان
Fars,IR,فارس
Gilan,IR,گيلان
Hamedan,IR,همدان
Hormozgan,IR,هرمزگان
Ilam,IR,ايلام
Kerman,IR,كرمان
Khorasan-e-Razavi,IR,خراسان رضوي
Khuzestan,IR,خوزستان
Kurdestan,IR,كردستان
Lorestan,IR,لرستان
Markazi,IR,مركزي
Mazandaran,IR,مازندران
Semnan,IR,سمنان
Sistan and Baluchestan,IR,سيستان وبلوچستان
Tehran,IR,تهران
Yazd,IR,يزد
Zanjan,IR,زنجان
Ardebil,IR,اردبيل
Golestan,IR,گلستان
Alborz,IR,البرز
Qom,IR,قم
Qazvin,IR,قزوين
North Khorasan,IR,خراسان شمالي
South Khorasan,IR,خراسان جنوبي
Ashgabat,TM,Aşgabat
Akhal,TM,Ahal
Balkan,TM,Balkan
Dashhowuz,TM,Daşoguz
Lebap,TM,Lebap
Mary,TM,Mary
Regions of Republican Subordination,TJ,Шањру ноњияњои тобеи љумњурї
Sughd,TJ,Суѓд
Khatlon,TJ,Хатлон
Gorno-Badakhshan,TJ,Вилояти Мухтори Кўњистони Бадахшон
Dushanbe,TJ,Душанбе
Almaty City,KZ,Алматы
Almaty,KZ,Алматы
Akmola,KZ,Ақмола
Aktobe,KZ,Ақтөбе
Atyrau,KZ,Атырау
West Kazakhstan,KZ,Батыс Қазақстан
Mangistau,KZ,Маңғыстау
South-Kazakhstan,KZ,Оңтүстік Қазақстан
Pavlodar,KZ,Павлодар
Karaganda,KZ,Қарағанды
Kostanai,KZ,Қостанай
Kyzylorda,KZ,Қызылорда
East-Kazakhstan,KZ,Шығыс Қазақстан
North-Kazakhstan,KZ,Солтүстік Қазақстан
Zhambyl,KZ,Жамбыл
Baikonur,KZ,Байкоңыр
Astana,KZ,Астана
Barisal,BD,বরিশাল
Chittagong,BD,চট্টগ্রাম
Dhaka,BD,ঢাকা
Khulna,BD,খুলনা
Rajshahi,BD,রাজশাহী
Rangpur,BD,রংপুর
Sylhet,BD,সিলেট
Mymensingh,BD,ময়মনসিংহ বিভাগ
Ayeyarwady,MYA,ဧရာဝတီတိုင်းဒေသကြီး
Magwe,MYA,မကွေးတိုင်းဒေသကြီး
Mandalay,MYA,မန္တလေးတိုင်းဒေသကြီး
Bago,MYA,ပဲခူးတိုင်းဒေသကြီး
Yangon,MYA,ရန်ကုန်တိုင်းဒေသကြီး
Sagaing,MYA,စစ်ကိုင်းတိုင်းဒေသကြီး
Tanintharyi,MYA,တနင်္သာရီတိုင်းဒေသကြီး
Chin,MYA,ချင်းပြည်နယ်
Kachin,MYA,ကချင်ပြည်နယ်
Kayin,MYA,ကရင်ပြည်နယ်
Kayah,MYA,ကယားပြည်နယ်
Mon,MYA,မွန်ပြည်နယ်
Rakhine,MYA,ရခိုင်ပြည်နယ်
Shan,MYA,ရှမ်းပြည်နယ်
Nay Pyi Taw,MYA,နေပြည်တော် ပြည်တောင်စုနယ်မြေ
Anhui,CN,安徽
Fujian,CN,福建
Gansu,CN,甘肃
Guangdong,CN,广东
Guizhou,CN,贵州
Hainan,CN,海南
Hebei,CN,河北
Heilongjiang,CN,黑龙江
Henan,CN,河南
Hubei,CN,湖北
Hunan,CN,湖南
Jiangsu,CN,江苏
Jiangxi,CN,江西
Jilin,CN,吉林
Liaoning,CN,辽宁
Qinghai,CN,青海
Shaanxi,CN,陕西
Shandong,CN,山东
Shanxi,CN,山西
Sichuan,CN,四川
Yunnan,CN,云南
Zhejiang,CN,浙江
Guangxi,CN,广西
Nei Mongol,CN,内蒙古
Ningxia,CN,宁夏
Xinjiang,CN,新疆维吾尔
Xizang,CN,西藏
Beijing,CN,北京
Shanghai,CN,上海
Tianjin,CN,天津
Chongqing,CN,重庆
Hokkaido,J,北海道
Aomori,J,青森県
Iwate,J,岩手県
Miyagi,J,宮城県
Akita,J,秋田県
Yamagata,J,山形県
Fukushima,J,福島県
Ibaraki,J,茨城県
Tochigi,J,栃木県
Gumma,J,群馬県
Saitama,J,埼玉県
Chiba,J,千葉県
Tokyo,J,東京都
Kanagawa,J,神奈川県
Niigata,J,新潟県
Toyama,J,富山県
Ishikawa,J,石川県
Fukui,J,福井県
Yamanashi,J,山梨県
Nagano,J,長野県
Gifu,J,岐阜県
Shizuoka,J,静岡県
Aichi,J,愛知県
Mie,J,三重県
Shiga,J,滋賀県
Kyoto,J,京都府
Osaka,J,大阪府
Hyogo,J,兵庫県
Nara,J,奈良県
Wakayama,J,和歌山県
Tottori,J,鳥取県
Shimane,J,島根県
Okayama,J,岡山県
Hiroshima,J,広島県
Yamaguchi,J,山口県
Tokushima,J,徳島県
Kagawa,J,香川県
Ehime,J,愛媛県
Kochi,J,高知県
Fukuoka,J,福岡県
Saga,J,佐賀県
Nagasaki,J,長崎県
Kumamoto,J,熊本県
Oita,J,大分県
Miyazaki,J,宮崎県
Kagoshima,J,鹿児島県
Okinawa,J,沖縄県
Adrar,RIM,أدرار
Assaba,RIM,لعصابة
Brakna,RIM,لبراكنة
Dakhlet Nouadhibou,RIM,داخلة نواذيبو
Gorgol,RIM,كوركول
Guidimagha,RIM,غيديماغا
Hodh Chargui,RIM,الحوض الشرقي
Hodh El Gharbi,RIM,الحوض الغربي
Inchiri,RIM,إينشيري
Nouakchott,RIM,نواكشوط
Tagant,RIM,تكانت
Tiris Zemmour,RIM,تيرس زمور
Trarza,RIM,الترارزه
Al-Baḥr al-Aḥmar,SUD,البحر الأحمر
Al-Jazīrah,SUD,الجزيرة
Al-Kharṭūm,SUD,الخرطوم
Al-Qaḍārif,SUD,القضارف
An-Nīl al-Abyaḍ,SUD,النيل الأبيض
An-Nīl al-Azraq,SUD,النيل الأزرق
Ash-Shamālīyah,SUD,الشمالية
Gharb al-Dārfūr,SUD,غرب دارفور
Gharb Kurdufān,SUD,غرب كردفان
Janūb Dārfūr,SUD,جنوب دارفور
Janūb Kurdufān,SUD,جنوب كردفان
Kassalā,SUD,كسلا
Nahr an-Nīl,SUD,نهر النيل
Sannār,SUD,سنار
Shamāl Dārfūr,SUD,شمال دارفور
Shamāl Kurdufān,SUD,شمال كردفان
Sharq Dārfūr,SUD,شرق دارفور‏
Wasaṭ Dārfūr,SUD,وسط دارفور‎
Addis Ababa,ETH,አዲስ ፡ አበባ
Afar,ETH,አፋር
Amhara,ETH,አማራ
Benishangul-Gumuz,ETH,ቤንሻንጉል-ጉምዝ
Dire Dawa,ETH,ድሬዳዋ
Gambella,ETH,ጋምቤላ
Harari,ETH,የሐረሪ ህዝብ ክልላዊ መንግስት
Oromia,ETH,ኦሮሚያ
Somali,ETH,ሶማሌ
Tigray,ETH,ብሄራዊ ክልላዊ መንግስቲ ትግራይ
Southern,ETH,የደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
Sidama,ETH,የሲዳማ ብሔራዊ ክልላዊ መንግሥት
South West,ETH,የደቡብ ምዕራብ ኢትዮጵያ ህዝቦች ክልላዊ መንግስት
