name,sea,length,area,source,estuary,estuaryelevation
Xiang Jiang,,856,96400,"(26.61,110.61)","(29.44,113.14)",
Yuan Jiang,,1033,89163,"(26.31,107.33)","(28.85,112.24)",
Pearl River,South China Sea,170,453700,"(23.25,113.2)","(22.1,113.75)",0
Dong Jiang,,523,32000,"(24.4,115.2)","(23.04,113.5)",
Bei Jiang,,468,46700,"(24.8,113.6)","(23.15,112.8)",
Xi Jiang,South China Sea,2197,353100,"(25.77,103.9)","(22.05,113.48)",0
Hong He,South China Sea,1149,170977,"(25.8,101.3)","(20.27,106.55)",0
Mekong,South China Sea,4350,795000,"(33.75,94.66)","(10.19,106.75)",0
Tonle Sap River,,120,,"(12.50,104.56)","(11.56,104.94)",0.3
Mae Nam Chao Phraya,Gulf of Thailand,372,160000,"(15.7,100.14)","(13.54,100.59)",0
Mae Nam Ping,,658,44688,"(19.81,98.83)","(15.7,100.14)",33
Mae Nam Nan,,740,57947,"(19.3,101.2)","(15.7,100.14)",33
Saluen,Andaman Sea,2980,320000,"(32.5,91.9)","(17,97.5)",0
Irawaddy,Andaman Sea,2170,413674,"(29,98)","(17,96)",0
Ganges,Gulf of Bengal,2620,1750000,"(30.93,79.06)","(22,90)",0
Ghaghara,,1080,127950,"(30.56,80.68)","(25.74,84.68)",35
Gandaki,,400,46300,"(27.74,84.42)","(25.65,85.18)",44
Kali Gandaki,,350,11863,"(29.29,83.82)","(27.74,84.42)",190
Trishuli,,300,11688,"(28.43,85.16)","(27.74,84.42)",190
Koshi,,300,86900,"(26.91,87.16)","(25.4,87.26)",
Sunkoshi,,430,18182,"(28.46,86.32)","(26.91,87.16)",
Arun,,500,33578,"(28.68,85.88)","(26.91,87.16)",
Yamuna,,1376,366223,"(31.0,78.45)","(25.4,81.86)",74
Chambal,,960,132508,"(22.47,75.63)","(26.5,79.25)",122
Brahmaputra,,2896,651334,"(31.06,81.33)","(23.8,89.8)",6
Raidak,,370,15300,"(27.69,89.44)","(25.98,89.81)",36
Jaldhaka,,250,4800,"(27.33,88.89)","(25.75,89.71)",26
Tista,,430,12540,"(28.00,88.81)","(25.47,89.67)",16
Meghna,,910,82000,"(25.47,94.29)","(23.24,90.63)",0.5
Godavari,Gulf of Bengal,1465,313390,"(13.93,73.53)","(16.74,82.35)",0
Mahanadi,Gulf of Bengal,851,141600,"(20.19,81.96)","(20.29,86.71)",0
Krishna,Gulf of Bengal,1291,258950,"(17.9,73.4)","(15.71,80.93)",0
Narmada,Arabian Sea,1312,98800,"(22.76,81.75)","(21.57,72.70)",0
Indus,Arabian Sea,3180,980000,"(32.45,79.7)","(24,67.4)",0
Kabul,,71,70500,"(34.35,68.5)","(33.9,72.23)",280
Panjnad,,71,540000,"(29.35,71.02)","(29.11,70.7)",
Satluj,,1500,395000,"(30.67,81.47)","(29.35,71.02)",120
Chanab,,1242,138000,"(32.55,76.98)","(29.35,71.02)",120
Jhelum,,720,55300,"(33.75,75.38)","(31.17,72.15)",
Ravi,,725,,"(32.38,77.02)","(30.62,71.82)",
Mahaweli,Gulf of Bengal,335,10448,"(6.89,80.58)","(8.46,81.23)",0
Asahan,Malakka Strait,147,3741,"(2.7,98.7)","(3.1,99.2)",0
Batang Hari,South China Sea,800,46504,"(-1.1,100.78)","(-1.06,104.2)",0
Solo,Java Sea,600,16100,"(-7.74,111.15)","(-6.85,112.55)",0
Rajang,South China Sea,563,50000,"(2.45,115.09)","(2.13,113.22)",0
Kapuas,South China Sea,1143,98749,"(1.39,114.16)","(-9.55,109.09)",0
Mahakam,Java Sea,980,77100,"(1.36,114.59)","(-0.80,117.46)",0
Barito,Java Sea,1090,81675,"(0.73,114.97)","(-3.40,114.23)",0
Pansipit River,South China Sea,9,,"(13.93,120.93)","(13.88,120.91)",0
Pasig River,South China Sea,27,4678,"(14.53,121.11)","(14.58,120.95)",0
Agus River,Sulu Sea,37,1645,"(7.89,124.25)","(8.20,124.19)",0
Mamberano,Pacific Ocean,1112,78992,"(-4.64,140.80)","(-1.47,137.90)",0
Digul,Arafura Sea,853,45900,"(-4.65,140.29)","(-7.12,138.70)",0
Sepik,Pacific Ocean,1126,100243,"(-5.22,141.82)","(-3.84,144.54)",0
Fly River,Coral Sea,1120,76000,"(-5.30,141.52)","(-8.53,143.52)",0
Ruggles River,Arctic Ocean,22,,"(81.75,-71.05)","(81.7,-69.3)",0
Koukdjuak River,Arctic Ocean,80,108000,"(66.58,-71.36)","(66.74,-73.06)",0
Yukon River,Bering Sea,3185,854700,"(60.54,-134.5)","(62.57,-163.98)",0
Newhalen River,,40,9000,"(59.95,-154.86)","(59.71,-154.89)",14
Kvichak River,Bering Sea,97,16830,"(59.83,-155.88)","(58.88,-157.04)",0
Fraser River,Pacific Ocean,1375,248035,"(52.52,-118.32)","(49.12,-123.19)",0
Mackenzie River,Arctic Ocean,1903,1805200,"(61.7,-113.9)","(69.20,-135.02)",0
Great Bear River,,113,156500,"(65.13,-123.51)","(64.91,-125.60)",60
Slave River,,434,616400,"(59.00,-114.41)","(61.28,-113.59)",186
Athabasca River,,1231,95300,"(52.17,-117.43)","(58.62,-110.83)",213
Peace River,,1923,95300,"(57.07,-126.89)","(59.00,-111.41)",213
Liard River,,1115,277100,"(61.2,-131.6)","(61.85,-121.3)",120
Nelson River,Hudson Bay,664,1093442,"(52.77,-97.97)","(57.15,-92.33)",0
Saskatchewan River,,547,335900,"(53.24,-105.08)","(52.77,-97.97)",218
North Saskatchewan River,,1287,122800,"(52.15,-117.18)","(53.24,-105.08)",380
South Saskatchewan River,,1392,146100,"(51.64,-116.51)","(53.24,-105.08)",380
Red River of the North,,877,287500,"(46.26,-96.60)","(50.40,-96.80)",218
Churchill River,Labrador Sea,856,93415,"(53.0,-66.25)","(53.36,-60.17)",0
Saint Lawrence River,Atlantic Ocean,1197,1030000,"(44.2,-76.55)","(49.6,-64.8)",0
Ottawa River,,1271,146300,"(47.6,-75.8)","(45.45,-74.1)",20
Niagara River,,58,684000,"(42.9,-78.9)","(43.25,-79.1)",75
Detroit River,,200,579000,"(42.1,-82.6)","(43,-82.2)",174
Saint Marys River,,120,127700,"(46.5,-84.6)","(46.6,-83.9)",176
Manitou River,,15,,"(45.70,-82.00)","(45.60,-82.10)",176
Mindemoya River,,8,,"(45.71,-82.23)","(45.67,-82.27)",176
Straits of Mackinac,,0.1,118000,"(45.8,-84.75)","(45.8,-84.75)",176
Nipigon River,,48,25400,"(49.44,-88.21)","(48.96,-88.25)",186
Manicouagan River,,200,45800,"(51.10,-68.71)","(49.18,-68.19)",0
Riviere Richelieu,,124,23400,"(45,-73.3)","(46.0,-73.1)",4
Merrimack River,Atlantic Ocean,177,12900,"(43.4,-71.6)","(42.82,-70.81)",0
Connecticut River,Atlantic Ocean,655,29125,"(45.25,-71.21)","(41.27,-72.33)",0
Hudson River,Atlantic Ocean,493,5405,"(44.1,-73.95)","(40.7,-74.0)",0
Delaware River,Atlantic Ocean,735,36568,"(42.45,-74.60)","(39.43,-75.43)",0
Susquehanna River,Atlantic Ocean,715,71225,"(42.7,-74.92)","(39.54,-76.08)",0
Potomac River,Atlantic Ocean,652,38073,"(39.2,-79.5)","(38.00,-76.25)",0
Savannah River,Atlantic Ocean,560,38073,"(34.44,-82.86)","(32.04,-80.85)",0
Caloosahatchee River,Gulf of Mexico,108,3570,"(26.96,-81.07)","(26.52,-82.03)",0
Mississippi,Gulf of Mexico,3778,2981076,"(47.25,-95.2)","(29.15,-89.25)",0
Missouri,,4130,1371010,"(45.9,-111.5)","(38.81,-90.12)",123
Platte River,,499,233100,"(41.12,-100.68)","(41.06,-95.86)",287
North Platte River,,1094,80031,"(40.68,-106.4)","(41.12,-100.68)",845
South Platte River,,711,,"(39.06,-105.78)","(41.12,-100.68)",845
Arkansas,,2334,435122,"(39.25,-106.3)","(34,-91)",33
Ohio River,,1579,490574,"(40.42,-80.0)","(36.98,-89.13)",88
Allegheny River,,523,29992,"(41.9,-77.9)","(40.42,-80.0)",222
Tennessee River,,1049,105870,"(35.95,-83)","(37.07,-88.63)",92
Columbia River,Pacific Ocean,1953,668217,"(50.2,-115.85)","(46.24,-124.06)",0
Clark Fork River,,708,66800,"(46.19,-112.77)","(48.18,-116.27)",626
Chelan River,,6.5,2393,"(47.83,-120.01)","(47.81,-119.98)",217
Snake River,,1735,280000,"(44.13,-110.22)","(46.19,-119.03)",104
Salmon River,,684,36000,"(43.80,-114.75)","(45.86,-116.79)",280
Klamath River,Pacific Ocean,423,40632,"(42.19,-122.77)","(41.55,-124.08)",0
Sacramento River,San Francisco Bay,607,69930,"(41.27,-122.41)","(38.08,-121.85)",0
Feather River,,350,16000,"(40.36,-121.45)","(38.78,-121.62)",8
San Joaquin River,San Francisco Bay,530,83000,"(37.1,-118.74)","(38.05,-121.85)",0
Truckee River,,225,7900,"(39,-120)","(39.85,-119.43)",1155
Humboldt River,,467,42994,"(41.12,-114.97)","(39.99,-118.61)",1187
Amargosa River,,185,14245,"(37.07,-116.69)","(36.24,-116.86)",-85
Bear River,,563,18200,"(40.87,-110.83)","(41.46,-112.29)",1284
Jordan River,,82.7,9920,"(40.36,-111.90)","(40.90,-111.98)",1284
Colorado,Gulf of California,2330,629100,"(40.35,-105.7)","(31.81,-114.80)",0
Gila River,,1044,150737,"(33.18,-108.21)","(32.72,-114.55)",36
Green River,,1175,124578,"(43.15,-109.67)","(38.19,-109.49)",1181
Brazos River,Gulf of Mexico,1352,116000,"(33.27,-100.01)","(28.88,-95.38)",0
Rio Grande del Norte,Gulf of Mexico,3034,607965,"(38,-107.5)","(25.96,-97.18)",0
Rio Lerma Santiago,Pacific Ocean,1281,72427,"(19,-99)","(21.5,-105.6)",0
Rio Usumacinta,Gulf of Mexico,1000,240000,"(14.98,-91.22)","(18.59,-92.69)",0
Rio Grijalva,,480,134400,"(15.63,-91.75)","(18.40,-92.65)",0.5
Belize River,Caribbean Sea,290,5000,"(16.46,-89.22)","(17.53,-88.23)",0
Rio Dulce,Caribbean Sea,43,3435,"(15.64,-88.99)","(15.82,-88.75)",0
Rio Motagua,Caribbean Sea,486,12670,"(14.95,-91.01)","(15.74,-88.26)",0
Rio Lempa,Pacific Ocean,422,18246,"(14.69,-89.30)","(13.25,-88.83)",0
Rio Patuca,Caribbean Sea,500,23900,"(13.79,-86.47)","(15.81,-84.30)",0
Rio Coco,Caribbean Sea,750,24767,"(13.37,-86.81)","(15.00,-83.14)",0
Rio San Juan,Caribbean Sea,199,35000,"(11.60,-85.35)","(10.9,-83.7)",0
Rio Chepo,Pacific Ocean,206,5292,"(9.09,-78.13)","(9.00,-79.11)",0
Rio Cauto,Caribbean Sea,343,8948,"(20.0,-76.2)","(20.55,-77.24)",0
Artibonito,Caribbean Sea,343,8948,"(18.76,-71.52)","(19.24,-72.78)",0
Rio Guayas,Pacific Ocean,389,53299,"(-0.25,-80)","(-2.65,-79.91)",0
Rio Magdalena,Caribbean Sea,1538,263858,"(1.93,-76.66)","(10.95,-74.8)",0
Rio Cauca,,1180,59840,"(2.12,-76.43)","(8.89,-74.47)",15
Rio Bogota,,375,5996,"(5.22,-76.43)","(4.28,-73.52)",260
Catatumbo,Lago de Maracaibo,500,22317,"(7.85,-73.13)","(9.35,-71.74)",0
Orinoco,Atlantic Ocean,2010,1000000,"(2.3,-63.35)","(8.56,-60.5)",0
Arauca,,1050,34000,"(6.69,-72.30)","(7.50,-66.51)",37
Apure,,1038,167000,"(7.43,-72.30)","(7.60,-66.41)",36
Rio Meta,,1200,111000,"(4.76,-73.84)","(6.20,-66.46)",50
Rio Guaviare,,1497,166000,"(2.58,-67.71)","(4.04,-67.71)",65
Essequibo,Atlantic Ocean,1010,156828,"(2.3,-63.35)","(7.03,-58.45)",0
Suriname,Atlantic Ocean,480,23100,"(-3.32,-56.21)","(5.92,-55.17)",0
Oyapock,Atlantic Ocean,370,26820,"(-2.03,-53.13)","(4.29,-51.62)",0
Amazonas,Atlantic Ocean,3778,7050000,"(-4.44,-73.45)","(0,-50)",0
Rio Negro,,2866,720114,"(-2.00,-70.00)","(-3.1,-60)",
Japura,,2816,255700,"(1.8,-76.6)","(-3.17,-64.77)",
Rio Putumayo,,1813,148000,"(0.93,-77)","(-3.14,-67.97)",
Maranon,,1905,382877,"(-10.00,-76.66)","(-4.44,-73.45)",88
Huallaga,,1138,85000,"(-10.50,-76.3)","(-5.1,-75.62)",
Ucayali,,1600,337519,"(-10.7,-73.75)","(-4.44,-73.45)",88
Urubamba,,750,60300,"(-14.48,-71.00)","(-10.7,-73.75)",287
Tambo,,160,135000,"(-11.15,-74.23)","(-10.7,-73.75)",287
Perene,,165,20550,"(-10.95,-75.27)","(-11.15,-74.23)",295
Ene,,180,106150,"(-12.26,-73.97)","(-11.15,-74.23)",295
Mantaro,,724,15410,"(-10.92,-76.27)","(-12.26,-73.97)",400
Apurimac,,730,66100,"(-15.24,-71.84)","(-12.26,-73.97)",400
Jurua,,3283,225828,"(-9.76,-72.06)","(-2.63,-65.75)",36
Purus,,3210,371042,"(-10.9,-72.35)","(-3.68,-61.48)",
Acre,,1000,35400,"(-11,-70.7)","(-8.75,-67.4)",
Rio Madeira,,1450,1420000,"(-10.64,-65.65)","(-3.4,-58.76)",40
Beni,,1600,280000,"(-17.67,-66.8)","(-10.4,-66.73)",
Rio Madre de Dios,,1210,125287,"(-12.0,-72.15)","(-11.0,-66.1)",
Rio Mamoré,,1170,650000,"(-17.62,-64.97)","(-10.38,-65.39)",
Rio Guapay,,1438,102600,"(-18.42,-65.34)","(-15.80,-64.73)",
Rio Guaporé,,1260,341000,"(-14.60,-58.95)","(-11.89,-65.03)",131
Tapajós,,810,489600,"(-7.35,-58.03)","(-2.41,-54.71)",1
Juruena,,1240,190940,"(-14.75,-59.06)","(-7.35,-58.03)",95
Rio Teles Pires,,1431,141472,"(-14.85,-54.53)","(-7.35,-58.03)",95
Xingu,,1980,520292,"(-11.94,-53.55)","(-1.5,-51.87)",0.5
Tocantins,Atlantic Ocean,2450,749200,"(-16,-49)","(-1.73,-49.16)",0
Araguaia,,2198,384800,"(-17.97,-53.07)","(-5.37,-48.73)",89
Rio Parnaiba,Atlantic Ocean,1716,322823,"(-10.35,-46.0)","(-2.75,-41.82)",0
Rio Sao Francisco,Atlantic Ocean,2830,617812,"(-20.3,-43)","(-10.5,-36.4)",0
Rio Paraiba do Sul,Atlantic Ocean,1137,56500,"(-23.2,-44.9)","(-21.6,-41.0)",0
Parana,Atlantic Ocean,2640,2582672,"(-20.38,-51.35)","(-34.5,-58.2)",0
Paranaiba,,1070,34400,"(-19.22,-46.17)","(-20.07,-51.0)",328
Rio Grande,,1360,143000,"(-22.3,-44.6)","(-20.07,-51.0)",328
Tiete,,1130,150000,"(-23.55,-45.8)","(-20.6,-51.55)",280
Paranapanema,,929,,"(-24.3,-48.3)","(-22.65,-53.1)",233
Iguacu,,1320,62000,"(-25.4,-49.0)","(-25.6,-54.6)",110
Paraguay,,2549,1168540,"(-14.5,-56.5)","(-27.3,-58.4)",50
Pilcomayo,,2425,272000,"(-19.4,-66.2)","(-25.27,-57.67)",
Rio Cuiabá,,980,102750,"(-14.21,-55.07)","(-17.90,-57.46)",
Rio Salado,,2355,124199,"(-24.43,-66.20)","(-31.66,-60.74)",
Uruguay,Atlantic Ocean,1790,297199,"(-27.5,-52)","(-33.9,-58.4)",0
Río Sali,,812,89936,"(-26.12,-65.62)","(-27.53,-64.89)",71
Río Colorado,Atlantic Ocean,1114,350000,"(-36.15,-70.40)","(-39.71,-72.13)",0
Río Salado del Oeste,,1498,300000,"(-27.79,-68.60)","(-38.82,-64.99)",
Río Neuquen,Atlantic Ocean,1030,102000,"(-36.18,-70.57)","(-41.03,-62.78)",0
Río Limay,,380,61723,"(-41.04,-71.15)","(-43.34,-65.06)",255
Río Chubut,Atlantic Ocean,820,53801,"(-41.49,-71.14)","(-43.34,-65.06)",0
Río Deseado,Atlantic Ocean,615,14450,"(-46.22,-71.46)","(-47.76,-65.90)",0
Río Santa Cruz,Atlantic Ocean,385,29686,"(-50.23,-72.53)","(-50.13,-68.35)",0
Rio Rimac,Pacific Ocean,138,3583,"(-11.58,-76.26)","(-12.03,-77.15)",0
Rio Desaguadero,,383,90000,"(-16.55,-69.0)","(-18.55,-67.1)",3686
Rio Loa,Pacific Ocean,443,33570,"(-21.07,-68.51)","(-21.43,-70.05)",0
Río Bío Bío,Pacific Ocean,380,24264,"(-38.69,-71.26)","(-36.82,-73.17)",0
Río Baker,Pacific Ocean,170,26726,"(-47.02,-72.83)","(-47.79,-73.57)",0
Río Azopardo,Pacific Ocean,11,2910,"(-54.50,-68.81)","(-54.47,-68.98)",0
Sebou,Mediterranean Sea,450,40000,"(33.34,-4.56)","(34.26,-6.68)",0
Moulouya,Mediterranean Sea,550,74000,"(32.69,-5.21)","(35.12,-2.34)",0
Chelif,Mediterranean Sea,700,43700,"(33.92,1.75)","(36.04,0.13)",0
Rhumel,Mediterranean Sea,200,,"(36.2,5.85)","(36.87,6.1)",0
Medjerda,Mediterranean Sea,460,22000,"(36.32,8.4)","(37.0,10.2)",0
Senegal,Atlantic Ocean,1430,337000,"(11.5,-12)","(15.96,-16.5)",0
Gambia,Atlantic Ocean,1120,69931,"(11.4,-12.25)","(13.5,-16.6)",0
Rio Corubal,Atlantic Ocean,560,24000,"(11.32,-12.30)","(11.72,-15.64)",0
Rokel,Atlantic Ocean,356,10620,"(9.59,-11.09)","(8.57,-12.96)",0
Moa,Atlantic Ocean,475,19835,"(9.00,-9.55)","(6.98,-11.59)",0
Saint Paul River,Atlantic Ocean,485,20281,"(8.7,-9.18)","(6.38,-10.8)",0
Bandama,Atlantic Ocean,1050,98500,"(10.22,-6.00)","(5.14,-5.00)",0
Comoé,Atlantic Ocean,813,82408,"(10.94,-4.48)","(5.19,-3.72)",0
Volta,Atlantic Ocean,2850,398390,"(11.05,-5.32)","(5.77,0.68)",0
Oti,,937,72778,"(10.65,1.48)","(8.37,0.12)",85
Ouémé,Atlantic Ocean,510,46990,"(9.86,1.54)","(6.35,2.44)",0
Mono,Atlantic Ocean,460,25000,"(9.31,1.49)","(6.30,1.93)",0
Niger,Atlantic Ocean,4184,2261763,"(9.65,-10.87)","(5.32,6.42)",0
Tinkisso,,570,19430,"(10.37,-12.1)","(11.35,-9.16)",341
Bani,,430,129400,"(12.60,-6.56)","(14.52,-4.2)",264
Baoulé,,490,32700,"(9.33,-7.40)","(12.60,-6.56)",285
Bagoé,,350,43500,"(9.58,-7.08)","(12.60,-6.56)",285
Sirba,,439,39138,"(12.62,-0.81)","(13.77,1.66)",190
Mékrou,,410,10500,"(10.05,-1.76)","(12.41,2.82)",175
Sokoto,,630,193000,"(11.47,7.10)","(11.40,4.12)",150
Kaduna,,575,66300,"(9.87,8.87)","(8.74,5.80)",56
Benue,,1400,335035,"(7.58,12.58)","(7.78,6.75)",35
Gongola,,531,56000,"(9.75,8.87)","(9.50,12.06)",140
Yobe,,467,148000,"(12.66,10.63)","(13.68,13.39)",280
Hadejia,,630,31650,"(11.51,7.34)","(12.66,10.63)",350
Jamaare,,650,,"(9.93,8.89)","(12.66,10.63)",350
Mayo Kebbi,,495,30000,"(9.11,15.10)","(9.32,13.53)",
Logone,,965,78000,"(7.43,13.49)","(12.10,16.47)",298
Schari,,1400,548747,"(8,21)","(13.2,14.0)",250
Nile,Mediterranean Sea,3090,3254853,"(15.6,32.5)","(31.5,31)",0
Atbara,,1120,112000,"(12.8,37.3)","(17.68,33.97)",
Tekeze,,608,68000,"(12.12,39.12)","(14.34,35.85)",480
Mareb,,440,31000,"(15.25,38.91)","(16.14,36.32)",480
Blue Nile,,1783,325000,"(12.0,37.3)","(15.6,32.5)",370
White Nile,,950,1588194,"(9.5,30.45)","(15.6,32.5)",370
Sobat,,740,225000,"(8.45,33.2)","(9.37,31.55)",394
Pibor,,320,10000,"(7,33.5)","(8.45,33.2)",404
Baro,,306,41400,"(8.25,34.96)","(8.45,33.2)",404
Bahr el-Djebel/Albert Nil,,1156,,"(1.7,30.9)","(9.5,30.45)",390
Bahr el-Ghazal,,716,555428,"(5,28.5)","(9.5,30.43)",390
Semliki,,230,,"(-0.35,29.6)","(1.7,30.9)",619
Victoria Nile,,480,,"(0.43,33)","(1.7,30.9)",619
Kagera,,400,60000,"(-2.4,30.8)","(-0.95,31.8)",1134
Rukurara-Nyabarongo,,350,,"(-2.2,29.6)","(-2.4,30.8)",1320
Ruvuvu,,480,11840,"(-3.0,29.6)","(-2.4,30.8)",1320
Luvironza,,110,2046,"(-3.9,29.8)","(-3.35,30.0)",1410
Simiyu,,180,10800,"(-3.09,34.09)","(-2.53,33.42)",1134
Mara,,395,13325,"(-0.3,36)","(-1.51,33.93)",1134
Nzoia,,334,12903,"(1.02,35.44)","(0.05,33.95)",1134
Tana,Indian Ocean,1000,126000,"(-0.27,37.22)","(-2.60,40.34)",0
Jubba,Indian Ocean,1658,497626,"(7,39)","(-0.5,42.7)",0
Shabelle,,1820,336627,"(7,38.5)","(0.5,42.76)",
Sanaga,Atlantic Ocean,918,132990,"(5.3,13.4)","(3.55,9.65)",0
Ntem,Atlantic Ocean,460,31000,"(2.00,12.5)","(2.35,9.82)",0
Komo,Atlantic Ocean,260,5000,"(0.02,11.75)","(0.42,9.41)",0
Ogooué,Atlantic Ocean,1200,223856,"(-2.94,13.80)","(-1.02,8.88)",0
Congo,Atlantic Ocean,4374,3700000,"(0.5,25.2)","(-6,12)",0
Sanga,,785,213400,"(3.5,16.05)","(-1.2,16.82)",289
Kadei,,552,41000,"(5.9,14.55)","(3.5,16.05)",379
Mambere,,488,27900,"(6.24,14.72)","(3.5,16.05)",379
Ubangi,,1120,754830,"(4.1,22.45)","(-0.8,17.7)",295
Mbomou,,966,156950,"(5.02,27.45)","(4.1,22.45)",395
Uelle,,1130,135400,"(3.6,28.7)","(4.1,22.45)",395
Fimi,,200,140500,"(-2.7,18.2)","(3,16.9)",
Lukenie,,900,,"(-6.8,24.5)","(3,16.9)",
Kasai,,2153,881890,"(-10.96,19.3)","(3.3,17.4)",270
Cuango,,1100,263500,"(-11.5,14.2)","(3.3,17.4)",298
Cuilo,,970,93250,"(-11.3,14.7)","(3.3,17.4)",296
Lulua,,970,,"(-10.99,23.7)","(-5.04,21.11)",382
Tshuapa,,1000,173800,"(-3,24.5)","(0.05,18.26)",370
Lomami,,1450,103900,"(-8.7,24.7)","(-0.8,24)",395
Aruwimi,,1287,116100,"(-11.3,14.7)","(2.5,29.5)",390
Lukuga,,350,265000,"(-5.9,29.2)","(-5.64,26.91)",590
Ruzizi,,104,13385,"(-1.8,29.2)","(-3.4,29.3)",782
Malagarasi,,475,130000,"(-3.91,30.26)","(-5.25,29.8)",782
Luvua,,350,265300,"(-9,28.7)","(-6.74,26.95)",
Luapula,,740,173386,"(-11.2,29.7)","(-9,28.7)",931
Chambeshi,,500,44427,"(-9.10,31.52)","(-11.88,29.80)",1140
Rufiji,Indian Ocean,600,138800,"(-9.46,34.66)","(-7.75,39.36)",0
Zambezi,Indian Ocean,2574,1332574,"(-11,24.2)","(-19,36)",0
Cuando,,1500,148994,"(-13.00,19.12)","(-17.79,25.26)",924
Kafue,,402,155805,"(-11.62,27.03)","(-15.94,28.91)",372
Luangwa,,806,159615,"(-9.97,33.35)","(-15.62,30.42)",327
Shire,,402,150000,"(-14.2,35.2)","(-17.70,35.32)",27
Cuanza,Atlantic Ocean,960,157000,"(-13.82,17.32)","(-9.35,13.15)",0
Cunene,Atlantic Ocean,1050,110200,"(-12.76,16.00)","(-17.25,11.75)",0
Okavango,,1700,721258,"(-12.71,16.06)","(-18.95,22.5)",
Cuito,,920,57470,"(-12.69,18.36)","(-18.02,20.80)",1041
Limpopo,Indian Ocean,1750,413000,"(-26,28)","(-25.2,34)",0
Oranje,Atlantic Ocean,2160,973000,"(-28.90,29.02)","(-28.53,16.45)",0
Vaal,,1251,192000,"(-26,30)","(-29.07,23.63)",1241
Mangoky,Indian Ocean,714,55750,"(-21.72,47.3)","(-21.43,43.47)",0
Murchison River,Indian Ocean,1131,82000,"(-25.87,118.87)","(-27.71,114.16)",0
Roper River,Arafura Sea,600,81794,"(-13.87,133.20)","(-14.73,135.39)",0
Georgina River,,2060,232000,"(-19.69,138.00)","(-27.92,127.7)",-15
Murray River,Indian Ocean,2508,1061469,"(-36.80,148.20)","(-35.55,138.88)",0
Darling River,,1472,609283,"(-29.96,146.31)","(-34.11,141.91)",35
Barwon River,,700,,"(-29.96,146.31)","(-28.83,149.10)",119
Macintyre River,,470,49470,"(-29.94,151.60)","(-29.96,146.31)",119
Weir River,,700,,"(-27.36,151.01)","(-29.96,146.31)",119
Culgoa River,,1625,,"(-28.24,152.47)","(-29.96,146.31)",119
Murrumbidgee River,,1579,166340,"(-35.6,148.6)","(-34.73,143.22)",55
Lachlan River,,1440,84700,"(-34.78,149.53)","(-34.37,143.78)",68
Molonglo River,,115,,"(-35.67,149.50)","(-34.24,148.97)",440
Eucumbene River,,83,,"(-35.8,148.5)","(-36.30,148.6)",915
Snowy River,Tasman Sea,403,15779,"(-36.5,148.3)","(-37.6,148.55)",0
Waikato River,Tasman Sea,425,14260,"(-39.15,175.97)","(-37.37,174.71)",0
Whangaehu River,Tasman Sea,190,,"(-39.28,175.56)","(-40.04,175.10)",0
Clutha River,Pacific Ocean,338,21960,"(-44.67,169.16)","(-46.34,169.81)",0
