desert,country,province
Kalahari,ANG,Moxico
Kalahari,ANG,Cuando Cubango
Kalahari,NAM,Namibia
Kalahari,RB,Botswana
Kalahari,RSA,North West
Kalahari,Z,Southern
Kalahari,Z,Western
Namib,NAM,Namibia
Danakil,DJI,Djibouti
Danakil,ETH,Afar
Danakil,ER,Eritrea
Somali Desert,SO,Somalia
Somali Desert,ETH,Somali
Chalbi,EAK,Kenya
Ferlo,SN,Louga
Ferlo,SN,Saint-Louis
Ferlo,SN,Tambacounda
Ferlo,SN,Matam
Trarza,RIM,Adrar
Trarza,RIM,Brakna
Trarza,RIM,Inchiri
Trarza,RIM,Trarza
Erg Ouarane,RIM,Adrar
Erg Ouarane,RIM,Tiris Zemmour
Erg Maqteir,RIM,Adrar
Erg Maqteir,RIM,Tiris Zemmour
Saguia el-Hamra,WSA,Western Sahara
Erg Igidi,DZ,Algeria
Erg Igidi,RIM,Tiris Zemmour
Hamada du Draa,DZ,Algeria
Hamada du Draa,MA,Guelmim Es Semara
Hamada du Draa,MA,Souss Massa Daraa
Erg Chech,DZ,Algeria
Erg Chech,RMM,Tombouctou
Tanezrouft,DZ,Algeria
Tanezrouft,RMM,Tombouctou
Grand Erg Ouest,DZ,Algeria
Grand Erg Est,TN,Tunisia
Grand Erg Est,DZ,Algeria
Erg Isaouane,DZ,Algeria
Hamada al-Hamra,LAR,Libya
Fesan,LAR,Libya
Erg Rebiana,LAR,Libya
Talak,RMM,Gao
Talak,RMM,Kidal
Talak,RN,Agadez
Talak,RN,Tahoua
Tenere,RN,Agadez
Tenere,RN,Tillabéri
Tenere,RN,Zinder
Tenere,TCH,Chad
Djourab,TCH,Chad
Erdi Ennedi,TCH,Chad
Libyan Desert,ET,Egypt
Libyan Desert,LAR,Libya
Libyan Desert,TCH,Chad
Libyan Desert,SUD,Ash-Shamālīyah
Libyan Desert,SUD,Shamāl Dārfūr
Darfur,SUD,Ash-Shamālīyah
Darfur,SUD,Shamāl Dārfūr
Darfur,SUD,Shamāl Kurdufān
Arabian Desert,ET,Egypt
Nubian Desert,SUD,Al-Baḥr al-Aḥmar
Nubian Desert,SUD,Ash-Shamālīyah
Nubian Desert,SUD,Nahr an-Nīl
Negev,IL,HaDarom
Syrian Desert,SYR,Dayr az Zawr
Syrian Desert,SYR,Hims
Syrian Desert,SYR,Rif Dimashq
Syrian Desert,JOR,Jordan
Syrian Desert,SA,Al-Hudud ash Shamaliyah
Syrian Desert,SA,Al-Jouf
Syrian Desert,IRQ,al-Anbar
Nefud,SA,Al-Hudud ash Shamaliyah
Nefud,SA,Al-Jouf
Nefud,SA,Hail
Rub Al Chali,SA,Ar-Riyadh
Rub Al Chali,SA,Aseer
Rub Al Chali,SA,Ash Sharqiyah
Rub Al Chali,SA,Najran
Rub Al Chali,UAE,United Arab Emirates
Rub Al Chali,OM,Oman
Rub Al Chali,YE,Yemen
Dascht-e-Kavir,IR,Esfahan
Dascht-e-Kavir,IR,Khorasan-e-Razavi
Dascht-e-Kavir,IR,Semnan
Dascht-e-Kavir,IR,Tehran
Dascht-e-Kavir,IR,Yazd
Dascht-e-Kavir,IR,Qom
Dascht-e-Lut,IR,Esfahan
Dascht-e-Lut,IR,Kerman
Dascht-e-Lut,IR,Sistan and Baluchestan
Dascht-e-Lut,IR,Yazd
Dascht-e-Lut,IR,South Khorasan
Dasht-e-Margoh,AFG,Afghanistan
Rigestan,AFG,Afghanistan
Rigestan,PK,Balochistan
Thar,PK,Punjab
Thar,PK,Sindh
Thar,IND,Gujarat
Thar,IND,Haryana
Thar,IND,Punjab
Thar,IND,Rajasthan
Ryn,R,Kalmykiya
Ryn,R,Astrakhanskaya
Ryn,KZ,Atyrau
Ryn,KZ,West Kazakhstan
Ust Urt,UZ,Qoraqalpogʻiston
Ust Urt,KZ,Aktobe
Ust Urt,KZ,Mangistau
Karakum,TM,Akhal
Karakum,TM,Balkan
Karakum,TM,Dashhowuz
Karakum,TM,Lebap
Karakum,TM,Mary
Karakum,UZ,Samarqand
Karakum,UZ,Qoraqalpogʻiston
Kysylkum,UZ,Jizzax
Kysylkum,UZ,Samarqand
Kysylkum,UZ,Qoraqalpogʻiston
Kysylkum,KZ,Kyzylorda
Aralkum,UZ,Qoraqalpogʻiston
Aralkum,KZ,Kyzylorda
Muyunkum,KZ,Kyzylorda
Muyunkum,KZ,Zhambyl
Takla Makan,CN,Xinjiang
Gurbantunggut,CN,Xinjiang
Kum Tagh,CN,Xinjiang
Qaidam,CN,Qinghai
Gobi,MNG,Mongolia
Gobi,CN,Gansu
Gobi,CN,Nei Mongol
Gobi,CN,Ningxia
Ordos,CN,Shaanxi
Ordos,CN,Nei Mongol
Ordos,CN,Ningxia
Great Sandy Desert,AUS,Western Australia
Gibson Desert,AUS,Western Australia
Great Victoria Desert,AUS,South Australia
Great Victoria Desert,AUS,Western Australia
Nullarbor Plain,AUS,South Australia
Nullarbor Plain,AUS,Western Australia
Simpson Desert,AUS,Northern Territory
Simpson Desert,AUS,Queensland
Simpson Desert,AUS,South Australia
Red Centre,AUS,Northern Territory
Red Centre,AUS,South Australia
Red Centre,AUS,Western Australia
Tanami,AUS,Northern Territory
Sturt Desert,AUS,New South Wales
Sturt Desert,AUS,Northern Territory
Sturt Desert,AUS,Queensland
Owyhee,USA,Idaho
Owyhee,USA,Nevada
Owyhee,USA,Oregon
Great Salt Lake Desert,USA,Utah
Colorado Plateau,USA,Arizona
Colorado Plateau,USA,Colorado
Colorado Plateau,USA,New Mexico
Colorado Plateau,USA,Utah
Great Basin,USA,California
Great Basin,USA,Nevada
Great Basin,USA,Utah
Mojave,USA,Arizona
Mojave,USA,California
Mojave,USA,Nevada
Mojave,USA,Utah
Sonora,USA,Arizona
Sonora,USA,California
Sonora,MEX,Chihuahua
Sonora,MEX,Sonora
Chihuahua,USA,Arizona
Chihuahua,USA,New Mexico
Chihuahua,USA,Texas
Chihuahua,MEX,Chihuahua
Chihuahua,MEX,Coahuila
Chihuahua,MEX,Durango
Chihuahua,MEX,Nuevo Léon
Chihuahua,MEX,Sonora
Chihuahua,MEX,Zacatecas
Baja California Desert,MEX,Baja California
Atacama,RCH,Tarapacá
Atacama,RCH,Antofagasta
Atacama,RCH,Atacama
Atacama,RCH,Arica y Parinacota
